name,ufc_bouts_1993_2009,years,why_not_in_game,first_event
Terry Martin,6,2005-2008,no ESPN profile,UFC 54
Thiago Silva,6,2007-2009,no ESPN profile,UFC 102
Travis Lutter,6,2004-2008,ESPN profile lacks nationality,The Ultimate Fighter 4 Finale
Vladimir Matyushenko,6,2001-2009,ESPN profile lacks nationality,UFC 103
Ben Saunders,5,2007-2009,no ESPN profile,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
C. B. Dollaway,5,2008-2009,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
David Heath,5,2006-2008,no ESPN profile,UFC 62
Dennis Hallman,5,2000-2009,ESPN profile complete,The Ultimate Fighter: Heavyweights Finale
Forrest Petz,5,2006-2007,no ESPN profile,Ortiz vs. Shamrock 3: The Final Chapter
Frank Shamrock,5,1997-1999,no ESPN profile,UFC 16
Gary Goodridge,5,1996-1999,ESPN profile lacks nationality,UFC 10
Heath Herring,5,2007-2008,ESPN profile complete,UFC 69
Jess Liaudin,5,2007-2008,no ESPN profile,UFC 70
Kalib Starnes,5,2006-2008,no ESPN profile,The Ultimate Fighter 3 Finale
LaVerne Clark,5,1998-2000,no ESPN profile,UFC 16
Luiz Cané,5,2007-2009,no ESPN profile,UFC 106
Mark Hall,5,1995-1996,"ESPN profile lacks nationality, DOB, height",UFC 10
Marvin Eastman,5,2003-2008,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Mirko Cro Cop,5,2007-2009,no ESPN profile,UFC 103
Paul Buentello,5,2005-2009,ESPN profile lacks division,UFC 107
Paul Kelly,5,2008-2009,no ESPN profile,UFC 105
Roan Carneiro,5,2007-2008,no ESPN profile,UFC 79
Rob Emerson,5,2007-2009,ESPN profile complete,The Ultimate Fighter 5 Finale
Tsuyoshi Kosaka,5,1998-2002,no ESPN profile,UFC 18
Alvin Robinson,4,2007-2008,no ESPN profile,UFC 73
Brian Johnston,4,1996-1997,"ESPN profile lacks division, nationality, DOB, height",UFC 10
Carmelo Marrero,4,2006-2009,no ESPN profile,UFC 64
Chris Wilson,4,2008-2009,no ESPN profile,UFC 82
Dave Beneteau,4,1995-1997,"ESPN profile lacks nationality, DOB, height",UFC 15
Don Frye,4,1996,ESPN profile lacks nationality,UFC 10
Fabrício Werdum,4,2007-2008,ESPN profile complete,UFC 70
Gan McGee,4,2000-2003,"ESPN profile lacks nationality, DOB, height",UFC 28
George Sotiropoulos,4,2007-2009,ESPN profile complete,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Guy Mezger,4,1994-1999,no ESPN profile,UFC 13
Jason Dent,4,2006-2009,no ESPN profile,The Ultimate Fighter: United States vs. United Kingdom Finale
Joe Charles,4,1994-1997,"ESPN profile lacks nationality, DOB, height",UFC 4
Justin Buchholz,4,2008-2009,no ESPN profile,UFC 86
Justin Eilers,4,2004-2006,ESPN profile lacks nationality,UFC 49
Justin McCully,4,2007-2009,no ESPN profile,UFC 102
Kuniyoshi Hironaka,4,2006-2008,no ESPN profile,UFC 64
Mike Van Arsdale,4,1998-2006,ESPN profile lacks nationality,UFC 17
Murilo Bustamante,4,2000-2002,no ESPN profile,UFC 25
Márcio Cruz,4,2005-2006,ESPN profile lacks nationality,UFC 55
Oleg Taktarov,4,1995,no ESPN profile,UFC 5
Rob Kimmons,4,2008-2009,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Ron Waterman,4,1999-2000,no ESPN profile,UFC 20
Rory Singer,4,2006-2007,no ESPN profile,Ortiz vs. Shamrock 3: The Final Chapter
Rousimar Palhares,4,2008-2009,no ESPN profile,UFC 107
Ryan Jensen,4,2007-2009,no ESPN profile,UFC 74
Ryo Chonan,4,2007-2009,no ESPN profile,UFC 78
Scott Smith,4,2006-2007,no ESPN profile,The Ultimate Fighter 4 Finale
Shane Nelson,4,2008-2009,no ESPN profile,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Shannon Gugerty,4,2008-2009,no ESPN profile,UFC 100
Tiki Ghosn,4,2000-2004,"ESPN profile lacks nationality, DOB, height",UFC 24
Tomasz Drwal,4,2007-2009,no ESPN profile,The Ultimate Fighter: United States vs. United Kingdom Finale
Trevor Prangley,4,2004-2006,no ESPN profile,UFC 48
Wesley Correira,4,2002-2004,ESPN profile lacks division,UFC 39
Yoshiyuki Yoshida,4,2008-2009,no ESPN profile,UFC 104
Akihiro Gono,3,2007-2009,no ESPN profile,UFC 78
Alex Karalexis,3,2005-2006,no ESPN profile,2005 in UFC
Andre Roberts,3,1998-1999,"ESPN profile lacks nationality, DOB, height",UFC 17
Assuério Silva,3,2006-2007,no ESPN profile,UFC 60
Benji Radach,3,2002,ESPN profile complete,UFC 37
Bobby Hoffman,3,2000-2001,"ESPN profile lacks division, nationality, DOB, height",UFC 27
Brad Blackburn,3,2008-2009,no ESPN profile,The Ultimate Fighter: United States vs. United Kingdom Finale
Brad Imes,3,2005-2007,no ESPN profile,The Ultimate Fighter 2 Finale
Branden Lee Hinkle,3,2005-2006,no ESPN profile,UFC 55
Cal Worsham,3,1995-1996,no ESPN profile,UFC 6
Corey Hill,3,2008,no ESPN profile,UFC 86
Daiju Takase,3,1999-2000,no ESPN profile,UFC 21
David Bielkheden,3,2008-2009,no ESPN profile,UFC 82
Denis Kang,3,2009,ESPN profile lacks nationality,UFC 105
Diego Saraiva,3,2007,no ESPN profile,UFC 67
Edwin Dewees,3,2003-2006,"ESPN profile lacks division, nationality",The Ultimate Fighter 4 Finale
Felix Mitchell,3,1994-1996,no ESPN profile,UFC 10
Genki Sudo,3,2002-2004,no ESPN profile,UFC 38
George Roop,3,2008-2009,no ESPN profile,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Gideon Ray,3,2005-2006,no ESPN profile,2005 in UFC
Gil Castillo,3,2001-2002,"ESPN profile lacks nationality, DOB, height",UFC 33
Jake Rosholt,3,2009,no ESPN profile,UFC 102
Jason Brilz,3,2008-2009,no ESPN profile,UFC 103
Jason Day,3,2008-2009,"ESPN profile lacks division, nationality, DOB",UFC 83
Jason Von Flue,3,2006,no ESPN profile,UFC Fight Night: Sanchez vs. Parisyan
John Alessio,3,2000-2006,no ESPN profile,Ortiz vs. Shamrock 3: The Final Chapter
John Hathaway,3,2009,no ESPN profile,UFC 105
John Howard,3,2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
Jorge Santiago,3,2006,no ESPN profile,UFC Fight Night: Sanchez vs. Parisyan
Josh Haynes,3,2006-2007,"ESPN profile lacks nationality, DOB",Ortiz vs. Shamrock 3: The Final Chapter
Josh Thomson,3,2003-2004,ESPN profile complete,UFC 44
Junior Assuncao,3,2006-2007,no ESPN profile,UFC 64
Junior dos Santos,3,2008-2009,ESPN profile complete,UFC 103
Keita Nakamura,3,2006-2008,no ESPN profile,UFC 81
Keith Hackney,3,1994-1995,"ESPN profile lacks nationality, DOB, height",UFC 3
Kevin Jackson,3,1997-1998,"ESPN profile lacks nationality, DOB, height",UFC 14
Kyle Bradley,3,2008-2009,ESPN profile lacks division,UFC 81
Leonard Garcia,3,2007,ESPN profile lacks nationality,The Ultimate Fighter 5 Finale
Mark Weir,3,2002-2003,no ESPN profile,UFC 38
Matthew Riddle,3,2009,no ESPN profile,UFC 101
Mike Kyle,3,2004-2005,no ESPN profile,UFC 47
Mikey Burnett,3,1998-1999,"ESPN profile lacks nationality, DOB, height",UFC 16
Patrick Smith,3,1993-1995,no ESPN profile,UFC 1
Paulo Thiago,3,2009,no ESPN profile,UFC 100
Per Eklund,3,2008-2009,no ESPN profile,UFC 80
Rameau Thierry Sokoudjou,3,2007-2008,no ESPN profile,UFC 79
Renato Verissimo,3,2004,"ESPN profile lacks nationality, DOB",UFC 46
Rob MacDonald,3,2006,no ESPN profile,UFC 58
Rolando Delgado,3,2008-2009,no ESPN profile,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Ryan Bader,3,2008-2009,ESPN profile complete,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Sam Adkins,3,1996,no ESPN profile,UFC 10
Scott Ferrozzo,3,1996-1997,"ESPN profile lacks nationality, DOB, height",UFC 11
Steve Berger,3,2001-2002,no ESPN profile,UFC 31
Steve Bruno,3,2008-2009,no ESPN profile,UFC 87
Steve Jennum,3,1994-1995,"ESPN profile lacks nationality, DOB, height",UFC 3
T. J. Grant,3,2009,no ESPN profile,UFC 100
Tim Lajcik,3,1999-2000,no ESPN profile,UFC 21
Tony Fryklund,3,1997-2004,no ESPN profile,UFC 14
Wes Sims,3,2003-2004,no ESPN profile,UFC 43
Yoji Anjo,3,1997-2000,no ESPN profile,UFC 25
Yuki Kondo,3,2000-2001,no ESPN profile,UFC 27
Aaron Simpson,2,2009,no ESPN profile,UFC 102
Alberto Crane,2,2007-2008,no ESPN profile,UFC 74
Alex Hunter,2,1997,"ESPN profile lacks nationality, DOB, height",UFC 14
Alexandre Dantas,2,2000-2003,"ESPN profile lacks nationality, DOB, height",UFC 27
Amar Suloev,2,2002,no ESPN profile,UFC 35
Amaury Bitetti,2,1996-2000,no ESPN profile,UFC 26
Andre Winner,2,2009,no ESPN profile,The Ultimate Fighter: United States vs. United Kingdom Finale
Andrei Semenov,2,2002,no ESPN profile,UFC 35
André Gusmão,2,2008-2009,"ESPN profile lacks nationality, DOB",UFC 87
Ansar Chalangov,2,2005-2006,no ESPN profile,UFC 56
Anthony Macias,2,1994-1995,no ESPN profile,UFC 4
Anthony Torres,2,2006-2007,no ESPN profile,UFC 75
Antonio Mendes,2,2008-2009,no ESPN profile,UFC 84
Bas Rutten,2,1999,no ESPN profile,UFC 18
Brad Gumm,2,2000,no ESPN profile,UFC 24
Brad Kohler,2,1997-1999,no ESPN profile,UFC 22
Brad Morris,2,2008,"ESPN profile lacks division, nationality, DOB",UFC 83
Brian Foster,2,2009,no ESPN profile,UFC 103
